YEAR,MONTH,TAVG,TMAX,TMIN,HTDD,CLDD,ABSMAX,ABSMAX_DATE,ABSMIN,ABSMIN_DATE,ABS_RANGE,DX32,DX0,DT0,DT-18,PRCP,PRCPMAX,PRCPMAX_DATE,SNOW,SNOWMAX,SNOWMAX_DATE,DP.25,DP2.5,DP25X
1999,1,-9.61,-3.72,-15.56,866.6666667,0,9.444444444,25,-28.33333333,3,37.77777777,0,24,30,14,156.718,24.892,19,NaN,NaN,,22,15,0
1999,2,-6.33,0.33,-13.06,663.8888889,0,11.66666667,13,-26.11111111,1,37.77777778,0,13,27,9,32.004,16.764,3,NaN,NaN,,9,2,0
1999,3,-3.56,1.89,-9,639.4444444,0,11.11111111,30,-24.44444444,10,35.55555555,0,12,29,3,108.458,30.988,22,NaN,NaN,,14,7,1
1999,4,3.67,10.22,-2.89,423.3333333,0,17.22222222,30,-8.333333333,12,25.55555555,0,0,25,0,15.494,7.62,17,0,0,30,10,2,0
1999,5,11.44,19.06,3.83,205,0,27.22222222,31,-3.333333333,13,30.55555555,0,0,10,0,60.706,22.86,25,0,0,31,10,5,0
1999,6,16.78,23.22,10.33,71.11111111,24.44444444,29.44444444,8,1.666666667,16,27.77777777,0,0,0,0,65.532,27.94,18,0,0,30,10,5,1
1999,7,19.06,24.89,13.17,30,52.22222222,29.44444444,18,6.666666667,21,22.77777777,0,0,0,0,94.996,38.608,4,0,0,31,13,7,1
1999,8,16.5,22.44,10.56,70.55555556,13.88888889,30,1,2.777777778,31,27.22222222,0,0,0,0,19.304,6.35,22,0,0,31,11,4,0
1999,9,14.56,20.5,8.61,126.6666667,12.77777778,31.11111111,5,0,26,31.11111111,0,0,1,0,174.752,87.122,17,0,0,30,13,10,1
1999,10,5.28,11.06,-0.5,405,0,18.88888889,14,-6.111111111,29,25,0,0,18,0,74.422,25.4,4,0,0,31,18,6,1
1999,11,3.39,7.72,-0.94,447.7777778,0,16.66666667,10,-7.222222222,12,23.88888889,0,5,17,0,72.39,23.368,3,78.74,25.4,18,15,5,0
1999,12,-4.94,-0.33,-9.56,722.2222222,0,9.444444444,7,-23.33333333,28,32.77777777,0,15,29,6,42.672,22.352,21,322.58,127,25,16,4,0
2000,1,-10.83,-5.17,-16.56,873.8888889,0,10.55555556,3,-30,23,40.55555556,0,22,30,17,98.044,29.972,4,594.36,431.8,31,14,6,1
2000,2,-6.78,-0.67,-12.89,728.3333333,0,13.88888889,28,-28.88888889,3,42.77777778,0,18,26,9,74.422,11.176,19,688.34,762,19,18,8,0
2000,3,-1.111111,5.55555,-7.777777,0,0,16.666666,9,-20,17,36.66666,0,7,31,4,82.55,19.304,28,160.02,228.6,7,13,6,0
2000,4,2.94,8,-2.11,461.1111111,0,19.44444444,16,-10,14,29.44444444,0,2,19,0,155.702,36.068,4,462.28,254,10,19,11,1
2000,5,11.11,16.56,5.61,228.3333333,3.333333333,26.66666667,8,-2.777777778,3,29.44444445,0,0,5,0,145.796,38.1,11,0,0,31,18,12,1
2000,6,15.33,20.56,10.17,102.7777778,13.88888889,26.66666667,27,1.666666667,5,25,0,0,0,0,94.488,19.558,7,0,0,30,20,10,0
2000,7,15.83,21.28,10.39,81.11111111,3.333333333,25,26,4.444444444,20,20.55555556,0,0,0,0,153.924,61.468,10,0,0,31,11,7,3
2000,8,16.17,21.22,11.06,73.88888889,8.888888889,25.55555556,8,5,21,20.55555556,0,0,0,0,119.634,39.878,1,0,NaN,,17,7,1
2000,9,12.78,18.5,7,177.2222222,10,26.66666667,2,-4.444444444,30,31.11111111,0,0,5,0,54.61,16.002,13,0,0,30,12,7,0
2000,10,6.78,12.72,0.83,358.3333333,0,21.66666667,15,-5.555555556,10,27.22222223,0,1,13,0,60.96,20.828,6,20.32,0,30,12,5,0
2000,11,0.61,4.72,-3.5,531.1111111,0,15.55555556,4,-18.88888889,24,34.44444445,0,6,25,1,63.5,22.86,10,142.24,76.2,23,16,5,0
2000,12,-10.11,-4.78,-15.44,881.6666667,0,7.777777778,18,-23.33333333,14,31.11111111,0,25,31,16,116.586,33.02,18,848.36,508,31,15,7,2
2001,1,-8.17,-2.94,-13.44,821.6666667,0,2.777777778,31,-23.88888889,2,26.66666667,0,26,31,9,28.956,14.478,31,408.94,482.6,31,17,3,0
2001,2,-7.72,-2.28,-13.17,729.4444444,0,7.777777778,10,-23.88888889,4,31.66666667,0,20,28,8,62.484,17.018,10,546.1,609.6,9,15,6,0
2001,3,-5.56,0.33,-11.39,740,0,8.333333333,21,-23.88888889,26,32.22222222,0,16,31,6,132.08,35.56,31,1597.66,1270,31,18,8,2
2001,4,3.28,9.61,-3.06,451.6666667,0,20,25,-11.11111111,6,31.11111111,0,0,24,0,30.226,17.018,13,0,1270,2,8,3,0
2001,5,11.67,18.17,5.17,207.2222222,0.555555556,27.22222222,4,-2.777777778,7,30,0,0,5,0,78.994,20.32,28,0,0,31,12,7,0
2001,6,15.44,21.78,9.11,106.1111111,19.44444444,30,15,-1.111111111,1,31.11111111,0,0,1,0,139.446,38.608,23,0,0,30,11,6,3
2001,7,16.39,22.17,10.61,68.88888889,12.22222222,28.88888889,24,3.333333333,27,25.55555556,0,0,0,0,75.184,21.844,2,0,0,31,13,8,0
2001,8,18.61,24.94,12.22,30.55555556,38.33333333,31.11111111,10,6.111111111,26,25,0,0,0,0,77.724,20.828,1,0,0,31,12,10,0
2001,9,12.94,19.28,6.56,162.7777778,1.666666667,27.77777778,9,-1.111111111,30,28.88888889,0,0,2,0,81.534,36.068,25,0,0,30,9,4,2
2001,10,7.89,13.61,2.17,323.8888889,0,22.77777778,4,-6.666666667,31,29.44444445,0,0,12,0,45.212,10.414,22,40.64,25.4,8,13,5,0
2001,11,3.44,8.17,-1.28,446.6666667,0,18.88888889,3,-9.444444444,13,28.33333333,0,2,20,0,59.69,14.224,1,81.28,25.4,5,15,7,0
2001,12,-1.83,2.39,-6,624.4444444,0,17.77777778,6,-17.22222222,27,35,0,15,27,0,65.532,17.78,15,431.8,203.2,31,14,6,0
2002,1,-4.44,0.06,-8.94,706.1111111,0,8.333333333,29,-21.66666667,19,30,0,18,31,3,35.56,8.382,30,472.44,355.6,22,17,5,0
2002,2,-5.33,0.83,-11.44,661.6666667,0,10.55555556,27,-20,3,30.55555556,0,14,28,4,73.406,28.194,1,370.84,355.6,18,12,5,1
2002,3,-2.61,2.22,-7.44,649.4444444,0,13.88888889,10,-16.66666667,22,30.55555556,0,12,31,0,81.788,30.48,27,535.94,279.4,27,17,6,1
2002,4,4.67,10.17,-0.83,413.3333333,2.777777778,28.33333333,18,-13.33333333,7,41.66666666,0,3,19,0,109.22,36.322,14,162.56,101.6,23,14,8,1
2002,5,8.33,14.06,2.67,308.8888889,0,25.55555556,29,-2.777777778,20,28.33333334,0,0,13,0,106.934,41.91,14,48.26,25.4,18,20,10,1
